"year","rain","forecast","badyear","month","threshold","trig_yn","freq"
2025,NA,30.396221081638,NA,"Dec",34.3539841676513,0,"30"
2024,NA,16.1098205966407,NA,"Dec",34.3539841676513,0,"30"
2023,NA,29.9740817812689,NA,"Dec",34.3539841676513,0,"30"
2022,NA,27.9726311193546,NA,"Dec",34.3539841676513,0,"30"
2021,1,28.6597545103593,1,"Dec",34.3539841676513,0,"30"
2020,0,16.7226678532961,0,"Dec",34.3539841676513,0,"30"
2019,0,22.9956817982204,0,"Dec",34.3539841676513,0,"30"
2018,0,32.2404410976671,0,"Dec",34.3539841676513,0,"30"
2017,1,35.1366068719755,1,"Dec",34.3539841676513,1,"30"
2016,1,44.5384790122893,1,"Dec",34.3539841676513,1,"30"
2015,0,22.0540813244866,0,"Dec",34.3539841676513,0,"30"
2014,1,25.4945311158947,1,"Dec",34.3539841676513,0,"30"
2013,0,33.7052224857268,0,"Dec",34.3539841676513,0,"30"
2012,0,27.9817138792699,0,"Dec",34.3539841676513,0,"30"
2011,1,35.3223259481148,1,"Dec",34.3539841676513,1,"30"
2010,0,28.2614225811483,0,"Dec",34.3539841676513,0,"30"
2009,1,35.0597931238931,1,"Dec",34.3539841676513,1,"30"
2008,1,34.3539841676513,1,"Dec",34.3539841676513,1,"30"
2007,0,22.0002193079868,0,"Dec",34.3539841676513,0,"30"
2006,1,28.7020595905853,1,"Dec",34.3539841676513,0,"30"
2005,1,28.512465475104,1,"Dec",34.3539841676513,0,"30"
2004,0,36.9725547580258,0,"Dec",34.3539841676513,1,"30"
2003,0,30.6572600414354,0,"Dec",34.3539841676513,0,"30"
2002,0,24.9703471042128,0,"Dec",34.3539841676513,0,"30"
2001,0,30.1491001494421,0,"Dec",34.3539841676513,0,"30"
2000,1,33.3679322619417,1,"Dec",34.3539841676513,0,"30"
1999,1,32.8652581175515,1,"Dec",34.3539841676513,0,"30"
1998,0,18.1611858015477,0,"Dec",34.3539841676513,0,"30"
1997,0,36.5388377136592,0,"Dec",34.3539841676513,1,"30"
1996,0,34.0611861565387,0,"Dec",34.3539841676513,0,"30"
1995,0,29.1905050685016,0,"Dec",34.3539841676513,0,"30"
1994,0,36.3247011097009,0,"Dec",34.3539841676513,1,"30"
1993,0,29.3556399090114,0,"Dec",34.3539841676513,0,"30"
1992,1,24.6686548161451,1,"Dec",34.3539841676513,0,"30"
1991,0,28.799900788553,0,"Dec",34.3539841676513,0,"30"
1990,0,30.460296503502,0,"Dec",34.3539841676513,0,"30"
1989,0,35.3374977628419,0,"Dec",34.3539841676513,1,"30"
1988,0,34.6248356171027,0,"Dec",34.3539841676513,1,"30"
1987,0,28.6462910264902,0,"Dec",34.3539841676513,0,"30"
1986,0,29.9105831587906,0,"Dec",34.3539841676513,0,"30"
1985,1,35.7057557091828,1,"Dec",34.3539841676513,1,"30"
1984,1,35.1977916745158,1,"Dec",34.3539841676513,1,"30"
1983,1,27.1292549503784,1,"Dec",34.3539841676513,0,"30"
